Specialty,National Rank,Overall Score,ranking_type,hospital
Pediatrics: Cardiology & Heart Surgery,#22,67.1/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Diabetes & Endocrinology,#26,73.1/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Gastroenterology & GI Surgery,#36,61.2/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Neonatology,#15,78.8/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Nephrology,#37,67.4/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Neurology & Neurosurgery,#25,74.1/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Orthopedics,#40,68.2/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Pulmonology,#48,47.8/100,children,"Duke University Hospital, Durham, N.C."
Pediatrics: Urology,#50,54.4/100,children,"Duke University Hospital, Durham, N.C."
Cardiology & Heart Surgery,#10,72.5/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Diabetes & Endocrinology,#14,67.8/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
"Ear, Nose & Throat",#34,72.3/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Gastroenterology & GI Surgery,#9,70.8/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Geriatrics,#24,72.4/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Gynecology,#15,81.3/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Nephrology,#13,79.5/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Neurology & Neurosurgery,#18,69.5/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Orthopedics,#11,64.7/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Pulmonology,#36,69.0/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Urology,#25,72.6/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Cancer,High Performing,56.4/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Rheumatology,High Performing,3.7/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Rehabilitation,Not Ranked,2.0/100,adult,"Cedars-Sinai Medical Center, Los Angeles"
Cancer,#24,64.8/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Cardiology & Heart Surgery,#22,64.6/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
"Ear, Nose & Throat",#8,86.1/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Gastroenterology & GI Surgery,#23,66.1/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Geriatrics,#47,64.9/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Gynecology,#14,81.4/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Nephrology,#23,75.9/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Neurology & Neurosurgery,#32,63.1/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Ophthalmology,#9,8.3/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pulmonology,#16,73.2/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Rheumatology,#14,6.0/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Urology,#12,79.2/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Diabetes & Endocrinology,High Performing,61.1/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Orthopedics,High Performing,50.4/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Rehabilitation,High Performing,4.5/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Psychiatry,Not Ranked,1.8/100,adult,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Cancer,#40,60.7/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Cardiology & Heart Surgery,#7,81.7/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Gastroenterology & GI Surgery,#26,67.9/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Neonatology,#33,68.9/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Nephrology,#23,71.8/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Neurology & Neurosurgery,#36,69.0/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Orthopedics,#43,67.1/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Pulmonology,#31,55.3/100,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Diabetes & Endocrinology,Not Ranked,NA,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Pediatrics: Urology,Not Ranked,NA,children,"University of Michigan Hospitals and Health Centers, Ann Arbor"
Cancer,#44,60.1/100,adult,Houston Methodist Hospital
Cardiology & Heart Surgery,#21,65.0/100,adult,Houston Methodist Hospital
Diabetes & Endocrinology,#8,71.5/100,adult,Houston Methodist Hospital
Gastroenterology & GI Surgery,#11,70.4/100,adult,Houston Methodist Hospital
Geriatrics,#19,74.7/100,adult,Houston Methodist Hospital
Nephrology,#38,72.7/100,adult,Houston Methodist Hospital
Neurology & Neurosurgery,#17,70.0/100,adult,Houston Methodist Hospital
Orthopedics,#23,60.9/100,adult,Houston Methodist Hospital
Pulmonology,#17,72.9/100,adult,Houston Methodist Hospital
Urology,#32,71.8/100,adult,Houston Methodist Hospital
"Ear, Nose & Throat",Not Ranked,63.2/100,adult,Houston Methodist Hospital
Gynecology,Not Ranked,71.3/100,adult,Houston Methodist Hospital
Ophthalmology,Not Ranked,2.0/100,adult,Houston Methodist Hospital
Cancer,#22,65.1/100,adult,"University of Colorado Hospital, Aurora"
Cardiology & Heart Surgery,#42,58.8/100,adult,"University of Colorado Hospital, Aurora"
Diabetes & Endocrinology,#14,67.8/100,adult,"University of Colorado Hospital, Aurora"
Gastroenterology & GI Surgery,#22,66.2/100,adult,"University of Colorado Hospital, Aurora"
Geriatrics,#36,67.7/100,adult,"University of Colorado Hospital, Aurora"
Gynecology,#32,77.8/100,adult,"University of Colorado Hospital, Aurora"
Nephrology,#15,78.9/100,adult,"University of Colorado Hospital, Aurora"
Neurology & Neurosurgery,#43,60.8/100,adult,"University of Colorado Hospital, Aurora"
Orthopedics,#42,56.6/100,adult,"University of Colorado Hospital, Aurora"
Pulmonology,#2,94.4/100,adult,"University of Colorado Hospital, Aurora"
Rheumatology,High Performing,3.3/100,adult,"University of Colorado Hospital, Aurora"
Urology,High Performing,68.0/100,adult,"University of Colorado Hospital, Aurora"
"Ear, Nose & Throat",Not Ranked,65.7/100,adult,"University of Colorado Hospital, Aurora"
Rehabilitation,Not Ranked,1.6/100,adult,"University of Colorado Hospital, Aurora"
